"day","new_cases"
1,1
2,4
3,5
4,4
5,1
6,2
7,3
8,4
9,10
10,7
11,4
12,3
13,5
14,5
15,6
16,8
17,6
18,9
19,5
20,8
21,10
22,10
23,12
24,10
25,14
26,17
27,11
28,10
29,15
30,15
31,14
32,14
33,13
34,19
35,22
36,22
37,17
38,25
39,19
40,27
41,22
42,17
43,15
44,13
45,13
46,10
47,20
48,19
49,14
50,15
51,12
52,22
53,10
54,11
55,12
56,12
57,9
58,3
59,5
60,9
61,7
62,4
63,6
64,4
65,6
66,2
67,5
68,5
69,4
70,4
71,4
72,2
73,3
74,4
75,5
76,3
77,2
78,1
79,0
80,1
81,4
82,3
83,2
84,1
85,1
86,3
87,1
88,3
89,2
90,3
91,0
92,1
93,0
94,1
95,1
96,0
97,2
98,1
99,1
100,1
