"cases","day","population"
5,1,"A"
2,2,"A"
4,3,"A"
2,4,"A"
4,5,"A"
5,6,"A"
3,7,"A"
6,8,"A"
4,9,"A"
4,10,"A"
9,11,"A"
3,12,"A"
11,13,"A"
7,14,"A"
10,15,"A"
4,16,"A"
9,17,"A"
9,18,"A"
13,19,"A"
19,20,"A"
21,21,"A"
18,22,"A"
24,23,"A"
13,24,"A"
15,25,"A"
29,26,"A"
18,27,"A"
26,28,"A"
28,29,"A"
26,30,"A"
21,31,"A"
16,32,"A"
19,33,"A"
21,34,"A"
20,35,"A"
13,36,"A"
16,37,"A"
16,38,"A"
19,39,"A"
19,40,"A"
17,41,"A"
13,42,"A"
12,43,"A"
15,44,"A"
17,45,"A"
13,46,"A"
13,47,"A"
4,48,"A"
6,49,"A"
9,50,"A"
10,51,"A"
12,52,"A"
11,53,"A"
9,54,"A"
3,55,"A"
7,56,"A"
8,57,"A"
10,58,"A"
2,59,"A"
7,60,"A"
5,61,"A"
14,62,"A"
9,63,"A"
6,64,"A"
5,65,"A"
12,66,"A"
7,67,"A"
4,68,"A"
3,69,"A"
0,70,"A"
1,71,"A"
2,72,"A"
2,73,"A"
1,74,"A"
0,75,"A"
3,76,"A"
1,77,"A"
0,78,"A"
1,79,"A"
0,80,"A"
5,81,"A"
2,82,"A"
2,83,"A"
7,84,"A"
1,85,"A"
0,86,"A"
5,87,"A"
2,88,"A"
0,89,"A"
2,90,"A"
1,91,"A"
2,92,"A"
4,93,"A"
5,94,"A"
0,95,"A"
0,96,"A"
0,97,"A"
0,98,"A"
0,99,"A"
0,100,"A"
2,1,"B"
2,2,"B"
1,3,"B"
2,4,"B"
3,5,"B"
6,6,"B"
2,7,"B"
6,8,"B"
6,9,"B"
7,10,"B"
6,11,"B"
9,12,"B"
3,13,"B"
11,14,"B"
13,15,"B"
9,16,"B"
10,17,"B"
16,18,"B"
10,19,"B"
17,20,"B"
23,21,"B"
24,22,"B"
32,23,"B"
27,24,"B"
25,25,"B"
26,26,"B"
24,27,"B"
28,28,"B"
39,29,"B"
30,30,"B"
32,31,"B"
38,32,"B"
35,33,"B"
39,34,"B"
32,35,"B"
25,36,"B"
25,37,"B"
21,38,"B"
16,39,"B"
21,40,"B"
19,41,"B"
15,42,"B"
21,43,"B"
19,44,"B"
19,45,"B"
15,46,"B"
11,47,"B"
16,48,"B"
7,49,"B"
8,50,"B"
5,51,"B"
12,52,"B"
0,53,"B"
7,54,"B"
6,55,"B"
5,56,"B"
4,57,"B"
1,58,"B"
5,59,"B"
5,60,"B"
0,61,"B"
2,62,"B"
0,63,"B"
3,64,"B"
2,65,"B"
5,66,"B"
5,67,"B"
0,68,"B"
1,69,"B"
4,70,"B"
7,71,"B"
0,72,"B"
0,73,"B"
6,74,"B"
0,75,"B"
3,76,"B"
5,77,"B"
3,78,"B"
2,79,"B"
1,80,"B"
0,81,"B"
0,82,"B"
0,83,"B"
0,84,"B"
0,85,"B"
0,86,"B"
1,87,"B"
1,88,"B"
8,89,"B"
0,90,"B"
0,91,"B"
0,92,"B"
3,93,"B"
1,94,"B"
2,95,"B"
4,96,"B"
0,97,"B"
0,98,"B"
3,99,"B"
2,100,"B"
